,teamName,season,thisPoint_diff,thisPoint_pointsAvg,thisPoint_expectedPointsAvg,season_diff,season_pointsAvg,season_expectedPointsAvg
0,Hawks,2015-16,0.029748645779387073,0.9925373134328358,1.0222859592122229,0.04806205863970858,0.9604030655691173,1.0084651242088258
1,Hawks,2016-17,0.05605346858361959,0.944022770398482,1.0000762389821016,-0.005703568574086493,1.0134265734265735,1.007723004852487
2,Celtics,2015-16,0.06536027130580346,0.9492671927846674,1.0146274640904709,0.02754068933220477,0.9744546498277842,1.001995339159989
3,Celtics,2016-17,0.011196604073267169,0.989433237271854,1.0006298413451211,-0.006730339581917932,1.005689091167686,0.998958751585768
4,Cavaliers,2015-16,0.031689727692639225,0.949203187250996,0.9808929149436352,-0.004627822200425236,0.993165948596048,0.9885381263956228
5,Cavaliers,2016-17,0.003915688486573976,0.9822429906542056,0.9861586791407796,-0.02799527636051624,1.03187688925529,1.0038816128947738
6,Pelicans,2015-16,-0.04009849627644191,1.0632295719844358,1.0231310757079939,-0.03443251427965688,1.0455140322815182,1.0110815180018613
7,Pelicans,2016-17,0.013069225393721684,1.0093545369504209,1.0224237623441426,-0.0005026117925366336,1.0189300411522633,1.0184274293597266
8,Bulls,2015-16,0.08418365427811947,0.8985365853658537,0.9827202396439731,0.03048589967555304,0.9710817078161234,1.0015676074916764
9,Bulls,2016-17,0.022211284933222886,0.9788461538461538,1.0010574387793767,0.0028502282397890877,1.014813769751693,1.017663997991482
10,Mavericks,2015-16,0.05430476535630269,0.946808510638298,1.0011132759946006,-0.0015129085305360945,1.007463757714942,1.0059508491844058
11,Mavericks,2016-17,-0.04335735970727117,1.0558375634517767,1.0124802037445055,-0.05038800560645429,1.05815032477575,1.0077623191692957
12,Nuggets,2015-16,0.02185984911067984,1.0148809523809523,1.0367408014916322,-0.012121523334997164,1.0316079454835436,1.0194864221485465
13,Nuggets,2016-17,-0.012592967664723842,1.0112359550561798,0.998642987391456,-0.050235703885457506,1.0643557519679605,1.014120048082503
14,Warriors,2015-16,0.05207470494120092,0.9242290748898678,0.9763037798310688,0.033194886767106135,0.9571272528672856,0.9903221396343918
15,Warriors,2016-17,0.0002539781400063834,0.9878618113912232,0.9881157895312296,0.027611535359635786,0.9715263518138262,0.999137887173462
16,Rockets,2015-16,-0.012898512196092726,1.0273069679849343,1.0144084557888415,-0.011209014993938116,1.0317711328349626,1.0205621178410245
17,Rockets,2016-17,-0.02195116001267783,1.0166666666666666,0.9947155066539888,-0.02348030305452964,1.0406056434962148,1.0171253404416851
18,Clippers,2015-16,-0.019781114224541763,1.0053022269353131,0.9855211127107714,0.03129514602062522,0.9624602945423044,0.9937554405629296
19,Clippers,2016-17,0.05225751860324146,0.920570264765784,0.9728277833690254,-0.017076609792273878,1.008621928437994,0.9915453186457202
20,Lakers,2015-16,0.038971683236463384,0.9624746450304259,1.0014463282668893,-0.02370736258945838,1.0450192939831355,1.0213119313936772
21,Lakers,2016-17,0.012024748002698704,1.0279114533205005,1.0399362013231992,-0.05341701740378357,1.0834755403868033,1.0300585229830197
22,Heat,2015-16,0.11734583528774956,0.8781362007168458,0.9954820360045954,0.026788262338762858,0.9698943407150096,0.9966826030537724
23,Heat,2016-17,0.07703411343428157,0.9104477611940298,0.9874818746283114,0.00929475466178431,0.9927557229788468,1.0020504776406312
24,Bucks,2015-16,-0.0005001615084754274,1.0247933884297522,1.0242932269212768,0.008640299475102697,1.020879282458462,1.0295195819335647
25,Bucks,2016-17,0.029164837583452674,0.9667381974248928,0.9959030350083454,-0.01218226279700163,1.0359722836503025,1.0237900208533008
26,Timberwolves,2015-16,0.026646048798371957,0.9913127413127412,1.0179587901111131,-0.02845600581097263,1.0479205641099438,1.0194645582989712
27,Timberwolves,2016-17,-0.05570147119958957,1.0513112884834663,0.9956098172838768,-0.04155669747815871,1.0686260102865541,1.0270693128083954
28,Nets,2015-16,-0.003571931853006305,1.037111334002006,1.0335394021489996,-0.04307366684300562,1.0698608521015636,1.026787185258558
29,Nets,2016-17,0.006885541931703765,1.0079207920792081,1.014806334010912,-0.024214251986620416,1.0257960499798469,1.0015817979932264
30,Knicks,2015-16,0.07303913734803913,0.9346076458752516,1.0076467832232907,0.038082602099116514,0.9741219963031424,1.012204598402259
31,Knicks,2016-17,-0.010256612003568533,1.0284592737978409,1.0182026617942723,0.010338719185174039,1.0233468474765832,1.0336855666617573
32,Magic,2015-16,0.07577433692959468,0.9449806949806949,1.0207550319102896,-0.006671038900454507,1.0268691588785046,1.02019811997805
33,Magic,2016-17,-0.0011048361611449842,0.991412213740458,0.990307377579313,-0.03740717618846956,1.0452289805756416,1.007821804387172
34,Pacers,2015-16,0.034851241981481484,0.9632653061224491,0.9981165481039306,0.031410978543703894,0.9779665898617512,1.0093775684054551
35,Pacers,2016-17,-0.010273830022830222,1.014436958614052,1.0041631285912218,-0.010317869250008327,1.0231213872832372,1.0128035180332289
36,76ers,2015-16,0.014182875164940989,0.977055449330784,0.991238324495725,-0.018270762052352785,1.0198713366690493,1.0016005746166965
37,76ers,2016-17,-0.0391962944781834,1.0516917293233083,1.012495434845125,-0.015390777663446542,1.0249039419382382,1.0095131642747917
38,Suns,2015-16,-0.006568044541620521,1.0075431034482758,1.0009750589066553,-0.032623506498305144,1.0463286713286712,1.013705164830366
39,Suns,2016-17,-0.03713819796414308,1.035747883349012,0.9986096853848688,-0.03471615903651282,1.0502476999292285,1.0155315408927157
40,Trail Blazers,2015-16,0.029420205820014478,0.9794091316025068,1.0088293374225212,-0.0008112538902267374,1.007202535292423,1.0063912814021962
41,Trail Blazers,2016-17,0.03641993716534664,0.9812446717817562,1.0176646089471029,-0.01393074098467273,1.0171291053227631,1.0031983643380904
42,Kings,2015-16,-0.04911156191012711,1.046783625730994,0.9976720638208668,-0.03846579450808152,1.0416550571189749,1.0031892626108934
43,Kings,2016-17,-0.02069708139264992,1.0432098765432098,1.02251279515056,-0.04106850646855009,1.0561187013368591,1.015050194868309
44,Spurs,2015-16,0.048972655298782364,0.9133689839572192,0.9623416392560016,0.03206943934312512,0.954016124216184,0.9860855635593091
45,Spurs,2016-17,0.02148462442172483,0.9866117404737385,1.0080963648954633,0.016061311703444048,0.9846692947875604,1.0007306064910044
46,Thunder,2015-16,0.05742884244065971,0.9517177344475396,1.0091465768881993,0.052710346129097085,0.9688412852969815,1.0215516314260786
47,Thunder,2016-17,0.04217978368020525,0.9894937917860552,1.0316735754662605,-0.00029868164532831365,1.0224670864338867,1.0221684047885584
48,Raptors,2015-16,0.021699925036186785,0.9773371104815864,0.9990370355177732,0.00570162830759724,0.994943486020226,1.0006451143278232
49,Raptors,2016-17,0.017300354469602652,1.0131004366812226,1.0304007911508253,-0.008243211141829132,1.0151693667157584,1.0069261555739293
50,Jazz,2015-16,0.06282482345724527,0.9409638554216868,1.003788678878932,0.02214341327169045,0.9900702719217844,1.0122136851934749
51,Jazz,2016-17,0.03934569133985,0.9605009633911368,0.9998466547309868,0.021659649041473106,0.9863013698630136,1.0079610189044867
52,Grizzlies,2015-16,-0.026555063270674806,1.06524064171123,1.038685578440555,-0.016579149938558357,1.036611852311511,1.0200327023729527
53,Grizzlies,2016-17,0.0037984363622896034,1.032825322391559,1.0366237587538487,0.0024608048258283333,1.0116207003408741,1.0140815051667025
54,Wizards,2015-16,-0.020885142591437034,1.0166666666666666,0.9957815240752296,-0.041896697150492046,1.030921820303384,0.989025123152892
55,Wizards,2016-17,-0.06573474102695376,1.0500544069640914,0.9843196659371376,-0.047961866329010006,1.0483475248953673,1.0003856585663573
56,Pistons,2015-16,-6.0270665570127946e-05,1.0067039106145252,1.0066436399489551,-0.019018001310978527,1.0078283560452306,0.988810354734252
57,Pistons,2016-17,0.017160676435232225,0.9585958595859586,0.9757565360211908,-0.04346493958007103,1.0325322391559202,0.9890672995758492
58,Hornets,2015-16,-0.005142815743626961,0.9970472440944882,0.9919044283508612,0.01297804763844923,0.9929708793573376,1.0059489269957869
59,Hornets,2016-17,0.03402138748468975,0.980269989615784,1.0142913771004738,-0.025024226000322836,1.0474168435951876,1.0223926175948648
