,playerName,ePPS-PPS,PPS,expectedPPS
297,Shabazz Muhammad,-0.25819065474894265,1.2442105263157894,0.9860198715668468
74,Cheick Diallo,-0.2264949219419351,1.2188679245283018,0.9923730025863667
276,Nerlens Noel,-0.17870229905329482,1.1633802816901408,0.984677982636846
85,Abdel Nader,-0.1777396199458081,1.1584905660377358,0.9807509460919277
155,Derrick Rose,-0.17273953074549864,1.2090395480225988,1.0363000172771002
149,Aaron Brooks,-0.16479886478040884,1.1724137931034482,1.0076149283230393
82,Juan Hernangomez,-0.1576704752019129,1.153179190751445,0.9955087155495321
104,TJ Leaf,-0.143313557050199,1.1402877697841727,0.9969742127339737
76,Malachi Richardson,-0.1389827146252719,1.1296703296703297,0.9906876150450578
120,Tyler Cavanaugh,-0.13127174459233304,1.1530460624071321,1.021774317814799
314,Jamal Crawford,-0.1210026862569098,1.1345480028030834,1.0135453165461736
355,Zach Randolph,-0.11939155976578708,1.1470959595959596,1.0277043998301725
234,Kenneth Faried,-0.11852682129492331,1.129251700680272,1.0107248793853487
213,Quincy Pondexter,-0.11270834350851122,1.0879478827361564,0.9752395392276452
368,Al Jefferson,-0.11010815946479457,1.0948012232415902,0.9846930637767957
49,Cristiano Felicio,-0.10893306290721472,1.125,1.0160669370927853
126,Dirk Nowitzki,-0.10718922182327617,1.1070675105485233,0.9998782887252471
262,Jae Crowder,-0.10619653137291696,1.1238938053097345,1.0176972739368175
317,Elfrid Payton,-0.10603083153085513,1.128440366972477,1.0224095354416218
13,Jose Calderon,-0.10516768695887291,1.118572927597062,1.013405240638189
217,Timofey Mozgov,-0.10515340804013418,1.0771704180064308,0.9720170099662966
216,Lance Stephenson,-0.10469841580724637,1.1058755090168704,1.001177093209624
72,DeAndre Bembry,-0.10261266601616481,1.1349911190053286,1.0323784529891638
157,Kevin Love,-0.1023577402034832,1.1228813559322033,1.02052361572872
369,JR Smith,-0.10115755526300596,1.1169617893755825,1.0158042341125766
106,Terrance Ferguson,-0.10020090375981261,1.1175257731958763,1.0173248694360637
342,Bogdan Bogdanovic,-0.10014996435783785,1.1208053691275168,1.020655404769679
63,Thon Maker,-0.09834051570427849,1.1106623586429725,1.012321842938694
286,Gorgui Dieng,-0.09773995231960586,1.1170046801872076,1.0192647278676017
307,Matthew Dellavedova,-0.09672379816555576,1.0906862745098038,0.9939624763442481
90,DeAaron Fox,-0.09655704547761501,1.1155094094743674,1.0189523639967524
94,Dennis Smith Jr.,-0.0960605618144803,1.098119858989424,1.0020592971749438
284,Dennis Schroder,-0.09574150404333648,1.1276005547850207,1.0318590507416843
24,Willie Cauley-Stein,-0.09330573040675594,1.1175742574257426,1.0242685270189866
197,Wesley Matthews,-0.09215783617667284,1.0932,1.0010421638233271
236,Reggie Jackson,-0.08937032398914702,1.1009055627425615,1.0115352387534144
196,Garrett Temple,-0.08927029695762112,1.110776640577965,1.021506343620344
326,Sean Kilpatrick,-0.08865484909081345,1.0808314087759816,0.9921765596851682
358,LeBron James,-0.08764098259032593,1.1014492753623188,1.013808292771993
171,George Hill,-0.08737570450638499,1.1211742660836976,1.0337985615773126
14,Emmanuel Mudiay,-0.08419150583398505,1.0909893992932862,1.0067978934593012
185,Darren Collison,-0.08374312271082451,1.0982309124767224,1.014487789765898
347,Tim Frazier,-0.0826929540113941,1.0733634311512414,0.9906704771398473
5,Gerald Green,-0.08225042748387779,1.1045197740112995,1.0222693465274217
274,JaMychal Green,-0.08183932082975098,1.1176470588235294,1.0358077379937785
215,Nemanja Bjelica,-0.08142240823457225,1.0770328102710414,0.9956104020364691
209,Luke Babbitt,-0.08133126338443253,1.0993657505285412,1.0180344871441087
132,Rajon Rondo,-0.07991929702527578,1.1033653846153846,1.0234460875901088
165,JaVale McGee,-0.07904168465066119,1.0826771653543308,1.0036354807036696
61,Skal Labissiere,-0.0759565598207137,1.0907407407407408,1.014784180920027
65,Jamal Murray,-0.07498730960084354,1.083531086853346,1.0085437772525025
309,Joffrey Lauvergne,-0.07390693683857197,1.072892938496583,0.9989860016580111
136,J.J. Barea,-0.07383212839352482,1.0715151515151515,0.9976830231216267
290,Mason Plumlee,-0.07382645997359805,1.0831117021276595,1.0092852421540615
114,Frank Mason,-0.07243089192898522,1.067853170189099,0.9954222782601138
237,Cory Joseph,-0.07215999483730173,1.0688734650293648,0.996713470192063
211,Avery Bradley,-0.07209418744483842,1.087799315849487,1.0157051284046485
312,Jonathon Simmons,-0.07179057246179088,1.0863910822108687,1.0146005097490778
73,Malcolm Brogdon,-0.07156078891395423,1.0739087301587302,1.002347941244776
145,Marco Belinelli,-0.07060454448731646,1.0973036342321218,1.0266990897448054
301,Tony Snell,-0.07060331226811467,1.0763615946097698,1.005758282341655
231,Nikola Vucevic,-0.06999941716745872,1.0874200426439233,1.0174206254764646
243,DeAndre Liggins,-0.06984118881642276,1.0808457711442787,1.011004582327856
244,DeAndre Liggins,-0.06984118881642276,1.0808457711442787,1.011004582327856
148,Wilson Chandler,-0.06974099206712547,1.0770741286205203,1.0073331365533948
327,Aaron Gordon,-0.06948281837150816,1.0875621890547265,1.0180793706832183
294,Reggie Bullock,-0.06929144366288065,1.0866995073891625,1.017408063726282
135,Paul Millsap,-0.06862103440840339,1.0677570093457944,0.999135974937391
233,Tobias Harris,-0.06767387540710246,1.0857777777777777,1.0181039023706753
245,ETwaun Moore,-0.067599262802293,1.079232693911593,1.0116334311093
35,Jordan Mickey,-0.06747988416071604,1.0851063829787233,1.0176264988180073
254,Austin Rivers,-0.06737922560735266,1.0808464460119371,1.0134672204045845
59,Buddy Hield,-0.06706000989409366,1.0827250608272505,1.0156650509331568
9,Ersan Ilyasova,-0.06661131434444756,1.085925925925926,1.0193146115814784
168,Kosta Koufos,-0.06637624985522961,1.0768651092690278,1.0104888594137982
272,Willie Reed,-0.06563891209841222,1.0707964601769913,1.005157548078579
252,Andre Drummond,-0.06449316374951342,1.0808650681711331,1.0163719044216197
122,Maxi Kleber,-0.06351485716333227,1.0611541774332471,0.9976393202699149
266,Will Barton,-0.06341379264768121,1.067188219052002,1.0037744264043207
202,DeMarcus Cousins,-0.0633533082776645,1.0698120444955888,1.0064587362179243
118,Kobi Simmons,-0.06306810475847202,1.0804195804195804,1.0173514756611084
179,Ricky Rubio,-0.06241102690626876,1.0825734549138804,1.0201624280076116
288,Kelly Olynyk,-0.06235244748123958,1.0672268907563025,1.004874443275063
177,James Harden,-0.062109711793324474,1.0845006778129236,1.0223909660195991
29,Trey Lyles,-0.0618007484570815,1.0695792880258899,1.0077785395688084
253,Harrison Barnes,-0.061792336952241955,1.0650470219435737,1.0032546849913317
271,Kent Bazemore,-0.06068868888567791,1.0865800865800865,1.0258913976944086
191,Jonas Jerebko,-0.0604232973969987,1.070230607966457,1.0098073105694583
265,Khris Middleton,-0.05980921865325062,1.0714856230031948,1.0116764043499442
54,Domantas Sabonis,-0.05968370778995791,1.0658124635993012,1.0061287558093432
310,Ian Clark,-0.0593149379730078,1.0666666666666667,1.0073517286936589
46,Mario Hezonja,-0.05766339601904136,1.058453237410072,1.0007898413910306
240,Shelvin Mack,-0.057631819094376646,1.038716814159292,0.9810849950649153
20,DAngelo Russell,-0.05734977656866791,1.0515933232169954,0.9942435466483275
192,Jodie Meeks,-0.05682449334440509,1.060523938572719,1.003699445228314
170,Nicolas Batum,-0.056791887502379845,1.05,0.9932081124976202
113,Wes Iwundu,-0.056043945086006186,1.0635451505016722,1.007501205415666
370,Jameer Nelson,-0.055429242345304885,1.0498293515358361,0.9944001091905312
259,Evan Fournier,-0.055343351124989004,1.0741101901511458,1.0187668390261568
166,Ryan Anderson,-0.055232622640127405,1.08062930186824,1.0253966792281126
28,Myles Turner,-0.05486739064152468,1.0638297872340425,1.0089623965925179
30,Stanley Johnson,-0.05482029820908352,1.0666231221423905,1.011802823933307
319,Gary Harris,-0.05465171109922351,1.0636208368915456,1.0089691257923221
341,Clint Capela,-0.054421527947972725,1.078266104756171,1.0238445768081983
372,Trevor Ariza,-0.05437560016976306,1.0725839900456242,1.0182083898758612
184,Jeff Teague,-0.05392301247660192,1.0778189518263632,1.0238959393497613
324,Joe Harris,-0.05392031184077517,1.0228158041179745,0.9688954922771993
100,John Collins,-0.05327806709942173,1.0823262839879153,1.0290482168884936
344,Nikola Jokic,-0.05287979223344563,1.0564603691639523,1.0035805769305066
36,Rondae Hollis-Jefferson,-0.05207374807532095,1.0318994683421943,0.9798257202668733
322,Rodney Hood,-0.05204336424454459,1.0691244239631337,1.017081059718589
366,Devin Harris,-0.05094263087297435,1.0389273356401385,0.9879847047671642
204,Greg Monroe,-0.05054263720607244,1.0782493368700266,1.0277066996639541
67,Taurean Prince,-0.0504374947529469,1.0764471939902784,1.0260096992373315
176,Blake Griffin,-0.05041120727923554,1.0638157894736842,1.0134045821944486
350,Joe Ingles,-0.05031989007357396,1.069649446494465,1.019329556420891
31,Jerian Grant,-0.05007548341076795,1.07332101047443,1.023245527063662
270,Mirza Teletovic,-0.04991215029194718,1.0456140350877192,0.995701884795772
200,Derrick Favors,-0.04941225066711841,1.063048245614035,1.0136359949469167
26,Frank Kaminsky,-0.049169595091632656,1.0638153428377461,1.0146457477461135
62,Caris LeVert,-0.049118461144824654,1.0357507660878447,0.98663230494302
143,Thaddeus Young,-0.04842953657644067,1.063323416914577,1.0148938803381364
53,Dragan Bender,-0.04801317502386904,1.0660606060606062,1.0180474310367371
84,Paul Zipser,-0.04794067808802294,1.0749525616698292,1.0270118835818063
239,Bojan Bogdanovic,-0.047679730433479284,1.0572939620978405,1.0096142316643613
306,Alex Abrines,-0.04748365304898017,1.058455114822547,1.0109714617735668
58,Kris Dunn,-0.04692797765356471,1.0726256983240223,1.0256977206704576
125,Vince Carter,-0.046763006405001084,1.0803030303030303,1.0335400238980292
32,Bobby Portis,-0.04616287036470634,1.0661764705882353,1.020013600223529
291,Michael Carter-Williams,-0.0459323649668435,1.0604113110539846,1.014478946087141
331,Dwight Powell,-0.04489310052765194,1.0318076027928627,0.9869145022652107
43,Joe Young,-0.04486953883607703,1.039787798408488,0.994918259572411
68,Tyler Ulis,-0.0447499755459595,1.0656370656370657,1.0208870900911062
158,Danilo Gallinari,-0.04444351252076273,1.0533980582524272,1.0089545457316644
193,Patrick Beverley,-0.044241764344381984,1.0507880910683012,1.0065463267239192
208,Patrick Patterson,-0.043714706055124175,1.063,1.0192852939448758
101,Justin Jackson,-0.04339854785251118,1.053763440860215,1.0103648930077038
1,Marvin Williams,-0.043193453349633204,1.041036717062635,0.9978432637130017
247,Michael Kidd-Gilchrist,-0.04314985778384661,1.037037037037037,0.9938871792531904
255,Jeremy Lamb,-0.04304462933491715,1.049859943977591,1.006815314642674
69,Denzel Valentine,-0.04279832596168376,1.0640602920395668,1.021261966077883
268,Darius Miller,-0.042633431159632584,1.0483153210425937,1.0056818898829611
21,Karl-Anthony Towns,-0.04248291168787799,1.0653247246486897,1.0228418129608117
222,Tristan Thompson,-0.042467873556407465,1.0592193808882908,1.0167515073318834
17,Andrew Harrison,-0.04123695294936702,1.0622182146077548,1.0209812616583878
285,Dewayne Dedmon,-0.04119021006049062,1.0626927029804727,1.021502492919982
92,Malik Monk,-0.040814752382502206,1.0534351145038168,1.0126203621213146
210,Eric Bledsoe,-0.04080207484980036,1.056338028169014,1.0155359533192136
173,DeAndre Jordan,-0.04077767628511575,1.0457093574816732,1.0049316811965574
354,Joe Johnson,-0.04068296309440478,1.0757978723404256,1.0351149092460208
212,Trevor Booker,-0.040621540580872306,1.0431115276476102,1.0024899870667379
51,Malcolm Delaney,-0.040604614954377505,1.0597572362278245,1.019152621273447
11,Amir Johnson,-0.04041045490443951,1.0228401191658392,0.9824296642613997
303,Giannis Antetokounmpo,-0.04036259413473431,1.048016701461378,1.0076541073266436
10,Lou Williams,-0.04035802150503609,1.0441373160945162,1.0037792945894801
260,Miles Plumlee,-0.04017283051884846,1.0609911054637866,1.0208182749449382
258,Tyler Zeller,-0.04009852405445713,1.002724795640327,0.9626262715858698
27,Devin Booker,-0.03941698776493974,1.0570153693604363,1.0175983815954965
313,C.J. Williams,-0.03917511669263285,1.0338308457711443,0.9946557290785114
264,Quincy Acy,-0.039155213877773765,1.007269789983845,0.9681145761060712
348,Tarik Black,-0.038531497269563175,1.0594594594594595,1.0209279621898963
2,Chris Paul,-0.038203636053272705,1.0506807866868382,1.0124771506335655
96,Lauri Markkanen,-0.03791534597296131,1.0660018993352327,1.0280865533622714
221,Enes Kanter,-0.03786300016083022,1.0624284077892325,1.0245654076284023
117,Damyean Dotson,-0.03785917438968611,1.0529595015576323,1.0151003271679462
195,Patty Mills,-0.03783543075126983,1.0427163198247535,1.0048808890734837
320,Spencer Dinwiddie,-0.03755807345168094,1.0074220682830282,0.9698639948313472
364,Dwight Howard,-0.03714312391183772,1.0309754969949145,0.9938323730830768
86,Bryn Forbes,-0.03692452709390204,1.0410519563822964,1.0041274292883944
277,Alex Len,-0.0369017286086637,1.0469187675070029,1.0100170388983392
97,Donovan Mitchell,-0.0365748099557639,1.0561471442400774,1.0195723342843135
4,Channing Frye,-0.03580528511812642,1.0134952766531713,0.9776899915350449
225,Kemba Walker,-0.03560208492564798,1.0299785867237687,0.9943765017981208
203,Ekpe Udoh,-0.035572038234445325,1.0641925777331995,1.0286205394987542
302,Victor Oladipo,-0.03517585610354379,1.0422471910112359,1.007071334907692
105,Bam Adebayo,-0.03497322744755604,1.0674789128397375,1.0325056853921815
7,Ian Mahinmi,-0.033561590583424894,1.033402922755741,0.9998413321723162
228,Markieff Morris,-0.033388510606162214,1.0414965986394558,1.0081080880332935
163,Robin Lopez,-0.033166777289857396,1.0567441860465117,1.0235774087566543
140,Jeff Green,-0.032949742770852164,1.031858407079646,0.9989086643087938
201,Wesley Johnson,-0.032880445083385945,1.0502645502645502,1.0173841051811643
362,Zaza Pachulia,-0.03194614118324335,1.0331491712707181,1.0012030300874748
256,John Henson,-0.031702510164929976,1.0423053341508277,1.0106028239858977
227,Alec Burks,-0.031394759772472636,1.0498753117206983,1.0184805519482256
283,Cody Zeller,-0.03049129285649732,1.0345345345345345,1.0040432416780372
273,Justin Holiday,-0.03037962369892333,1.0576391630477695,1.0272595393488462
124,Torrey Craig,-0.029389507157794537,1.0427807486631016,1.013391241505307
